Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
1	ENSG00000151458	0.965	0.77	0.74	0.833333333333333	0.42	0.44	0.14	0.23	0.7	0.42	0.75	0.566666666666667	0.56	0.8	0.45	0.74	0.5	0.06	0.366666666666667	0.54	0.31
2	ENSG00000151461	0.9	0.43	0.565	0.713333333333333	0.443333333333333	0.416	0.18	0.28	0.86	0.52	0.72	0.653333333333333	0.606666666666667	0.7	0.5	0.28	0.4	0.3	0.826666666666667	0.24	0.63
4	ENSG00000151465	0.97	0.89	0.735	0.833333333333333	0.483333333333333	0.412	0.286666666666667	0.51	0.72	0.56	0.62	0.573333333333333	0.433333333333333	0.61	0.63	0.36	0.16	0.04	0.206666666666667	0.18	0.04
10	ENSG00000151466	0.92	0.49	0.695	0.853333333333333	0.643333333333333	0.616	0.373333333333333	0.42	0.7	0.42	0.84	0.693333333333333	0.72	0.38	0.16	0.22	0.08	0.1	0.16	0.06	0.03
3	ENSG00000151468	0.97	0.9	0.68	0.686666666666667	0.416666666666667	0.324	0.18	0.23	0.5	0.34	0.53	0.5	0.293333333333333	0.65	0.61	0.84	0.2	0.02	0.546666666666667	0.18	0.77
10	ENSG00000151470	0.485	0.33	0.685	0.866666666666667	0.44	0.648	0.233333333333333	0.35	0.84	0.94	0.95	0.626666666666667	0.906666666666667	0.72	0.43	0.46	0.38	0.1	0.633333333333333	0.58	0.33
1	ENSG00000151474	0.87	0.35	0.64	0.626666666666667	0.693333333333333	0.548	0.48	0.43	0.72	0.78	0.76	0.713333333333333	0.693333333333333	0.69	0.07	0.22	0.02	0.24	0.24	0.08	0.13
5	ENSG00000151491	0.945	0.79	0.555	0.8	0.306666666666667	0.392	0.126666666666667	0.25	0.66	0.38	0.56	0.4	0.546666666666667	0.9	0.62	0.76	0.72	0.24	0.626666666666667	0.8	0.45
6	ENSG00000151498	0.79	0.75	0.54	0.62	0.42	0.464	0.173333333333333	0.25	0.4	0.32	0.65	0.386666666666667	0.52	0.33	0.49	0.9	0.94	0.74	0.82	0.78	0.5
1	ENSG00000151502	0.955	0.78	0.695	0.866666666666667	0.51	0.384	0.173333333333333	0.28	0.48	0.56	0.8	0.653333333333333	0.46	0.43	0.38	0.76	0.5	0.3	0.526666666666667	0.72	0.25
7	ENSG00000151503	0.72	0.28	0.575	0.8	0.776666666666667	0.696	0.546666666666667	0.53	0.52	0.5	0.77	0.646666666666667	0.666666666666667	0.15	0.07	0.18	0.28	0.1	0.133333333333333	0.16	0.15
4	ENSG00000151532	0.8	0.57	0.64	0.78	0.663333333333333	0.544	0.386666666666667	0.61	0.88	0.54	0.78	0.78	0.673333333333333	0.52	0.19	0.26	0.1	0.02	0.14	0.12	0.05
4	ENSG00000151552	0.81	0.67	0.515	0.593333333333333	0.326666666666667	0.392	0.206666666666667	0.35	0.14	0.52	0.4	0.386666666666667	0.54	0.18	0.74	0.86	0.98	0.96	0.853333333333333	0.9	0.84
2	ENSG00000151553	0.505	0.34	0.52	0.553333333333333	0.446666666666667	0.504	0.28	0.1	0.24	0.48	0.61	0.373333333333333	0.573333333333333	0.89	0.63	0.88	0.8	0.92	0.866666666666667	0.78	0.9
9	ENSG00000151576	0.96	0.88	0.76	0.793333333333333	0.486666666666667	0.396	0.2	0.3	0.72	0.48	0.78	0.593333333333333	0.473333333333333	0.63	0.44	0.68	0.22	0.24	0.4	0.42	0.12
6	ENSG00000151611	0.61	0.73	0.515	0.313333333333333	0.413333333333333	0.308	0.146666666666667	0.42	0.3	0.08	0.31	0.48	0.273333333333333	0.94	0.97	0.98	0.82	0.78	0.866666666666667	0.7	0.76
5	ENSG00000151612	0.96	0.8	0.745	0.88	0.583333333333333	0.588	0.24	0.33	0.6	0.54	0.68	0.633333333333333	0.7	0.43	0.26	0.16	0.52	0.02	0.213333333333333	0.14	0.21
3	ENSG00000151623	0.445	0.62	0.44	0.546666666666667	0.4	0.44	0.14	0.34	0.4	0.3	0.7	0.673333333333333	0.633333333333333	0.68	0.65	0.94	0.98	0.88	0.88	1	0.83
9	ENSG00000151651	0.475	0.1	0.39	0.54	0.593333333333333	0.228	0.386666666666667	0.5	0.14	0.26	0.39	0.606666666666667	0.22	0.78	0.78	0.96	0.84	0.8	0.86	0.74	0.91
7	ENSG00000151655	0.905	0.8	0.735	0.886666666666667	0.513333333333333	0.556	0.32	0.59	0.74	0.66	0.75	0.646666666666667	0.713333333333333	0.05	0.33	0.46	0.26	0.1	0.24	0.56	0.09
2	ENSG00000151657	0.9	0.57	0.735	0.44	0.616666666666667	0.492	0.413333333333333	0.46	0.78	0.38	0.68	0.42	0.36	0.7	0.17	0.16	0.36	0.12	0.206666666666667	0.02	0.27
7	ENSG00000151665	0.93	0.93	0.71	0.62	0.4	0.524	0.32	0.45	0.16	0.22	0.57	0.24	0.493333333333333	0.54	0.55	0.48	0.46	0.56	0.22	0.02	0.2
4	ENSG00000151690	0.235	0.39	0.61	0.66	0.663333333333333	0.708	0.34	0.6	0.78	0.64	0.87	0.933333333333333	0.9	0.88	0.37	0.28	0.22	0.04	0.313333333333333	0.06	0.43
2	ENSG00000151693	0.92	0.79	0.68	0.866666666666667	0.55	0.408	0.34	0.45	0.76	0.22	0.6	0.56	0.346666666666667	0.89	0.33	0.44	0.14	0.08	0.206666666666667	0.02	0.19
