"","Phylostratum","GeneID","Zygote","Quadrant","Globular","Heart","Torpedo","Bent","Mature"
"22199",9,"at3g45320.1",879.8022525,791.4990624,832.9593628,894.6834463,931.4019714,983.4006998,885.1656389
"22200",9,"at3g47020.1",2013.393569,1965.873161,1278.599115,1835.053881,1978.806755,1432.821862,1400.362652
"22201",9,"at3g47140.1",722.391362,706.5278618,737.0549295,745.1154796,781.9564409,801.3976103,735.5500058
"22202",9,"at3g48490.1",871.2430478,971.25261,1077.41798,916.7012094,920.5387049,908.7894828,845.5336089
"22203",9,"at3g49330.1",785.2578313,748.8247257,749.229241,780.2796953,767.6040626,826.2419404,801.5304321
"22204",9,"at3g49440.1",709.4268366,735.0599902,752.1068311,825.8494582,803.7643841,774.715162,682.3140038
"22205",9,"at3g49570.1",4218.747889,4188.953655,5770.086358,10427.80943,8763.00127,5794.801637,5151.0182
"22206",9,"at3g50450.1",641.0204772,627.6992008,604.3183291,612.0524549,603.469787,621.5991274,589.365396
"22207",9,"at3g50470.1",704.1765588,691.1278713,681.6132412,781.9841399,855.4608321,813.5739978,685.8702197
"22208",9,"at3g51020.1",714.2349817,701.1455578,622.7536432,662.4398527,619.9929183,612.937944,662.1474692
"22209",9,"at3g51500.1",970.2900392,993.7068324,1066.586767,995.0680527,917.4386441,881.2043425,1983.852522
"22210",9,"at3g52420.1",1197.375937,1440.520221,1283.794737,1294.766157,1019.762868,912.6009892,973.8956295
"22211",9,"at3g52480.1",798.766389,746.2024285,800.2536852,967.6878177,975.7214842,805.04723,857.1610694
"22212",9,"at3g52620.1",1260.124086,774.2183038,867.919851,934.0629687,809.1941055,761.8712838,799.5858772
"22213",9,"at3g53232.1",1047.865195,1110.620233,897.0403597,832.3415909,844.602753,875.1993134,946.4622829
"22214",9,"at3g55670.1",1119.245601,1153.937268,935.6320849,982.639642,965.3156711,1234.629759,4466.291407
"22215",9,"at3g56250.1",807.4791402,781.3635308,738.7862237,818.9118267,854.6493872,842.7484936,766.334662
"22216",9,"at3g56890.1",681.3890292,637.1449031,713.9588225,691.9613261,706.9657888,715.7519174,749.3080807
"22217",9,"at3g57840.1",1684.322455,2518.461834,1849.674289,3264.195499,4252.060967,2611.392899,1212.065814
"22218",9,"at3g57900.1",1152.781377,1344.834458,1061.725177,1064.087419,1085.179872,922.1301744,869.1862375
"22219",9,"at3g58840.1",1720.498102,2335.084979,1420.556528,1097.25948,1285.609096,1457.599678,986.4242392
"22220",9,"at3g58890.1",704.4694524,789.9585656,778.1008769,805.386436,834.7328569,775.2464656,735.6755324
"22221",9,"at3g58910.1",808.3529403,1137.061689,824.6036564,776.9082354,968.0937172,873.5784041,735.2848325
"22222",9,"at3g59270.1",688.9221259,699.1741001,766.7093565,828.1811478,823.5357544,756.485355,705.0127065
"22223",9,"at3g59590.1",818.4453708,774.7630716,704.327106,757.7078517,734.6928415,706.5611218,677.3414241
"22224",9,"at3g60090.1",725.6523319,713.1834968,691.2504812,784.4385426,777.918063,732.2388806,682.1579896
"22225",9,"at3g61840.1",706.921896,715.2037742,684.2963803,675.2561996,683.9811532,641.7389543,670.1043539
"22226",9,"at3g61930.1",665.8034856,708.1163928,658.5927051,716.7366582,1215.730521,877.4992074,679.3278223
"22227",9,"at3g62180.1",766.136222,770.2840137,815.5780133,809.079539,797.0495437,734.4585636,814.526808
"22228",9,"at3g62350.1",653.6791751,727.0908479,640.3455677,677.1127857,717.1791311,677.5698691,602.8131065
"22229",9,"at4g00130.1",2302.018174,1841.270098,2163.358578,1694.561498,1725.264517,1888.591357,2536.131327
"22230",9,"at4g00232.1",669.9784945,659.8326199,683.0640745,719.536277,799.6534755,747.0281654,641.7343646
"22231",9,"at4g02140.1",681.2016593,655.6259197,686.3479355,696.5631389,685.7761515,708.044273,731.9646721
"22232",9,"at4g05070.1",2646.409025,1054.963274,1139.697347,1075.009068,978.1042243,1266.821652,6723.837744
"22233",9,"at4g05080.1",646.7472068,642.2418995,644.697768,584.8516565,586.8800245,592.0211576,634.9092061
"22234",9,"at4g05630.1",703.2874436,792.1275428,832.8935879,778.4634685,796.858913,798.1366842,751.8958976
"22235",9,"at4g07940.1",814.9018383,1470.946468,772.8374078,726.5146157,667.3048051,647.9935799,647.7587217
"22236",9,"at4g10895.1",1318.637008,2622.951584,3851.026094,1626.9198,814.1689935,970.5447222,780.347647
"22237",9,"at4g11940.1",735.2421802,767.6581574,874.4596007,839.5253214,845.2403961,811.5574253,758.5928381
"22238",9,"at4g13235.1",728.6538337,746.7894583,767.9736021,697.8540192,693.9065801,640.7266989,753.2019468
"22239",9,"at4g13320.1",725.3550776,653.3224073,669.4092586,748.2569867,842.1686957,778.9698132,710.3860023
"22240",9,"at4g13380.1",801.9717211,929.4783128,1066.596116,938.2763893,899.8271808,902.4944463,790.3998686
"22241",9,"at4g13520.1",11018.9047,12942.61193,5994.414068,6318.379599,8512.874517,4809.755506,7211.56903
"22242",9,"at4g14120.1",872.6636335,853.2507543,947.4110785,992.3808334,938.0296022,955.1844754,934.1235066
"22243",9,"at4g14650.1",881.8160768,824.6855358,862.7772151,891.3767591,865.6545551,925.905928,858.1195468
"22244",9,"at4g15735.1",7350.703726,19138.08997,31496.80367,5323.370041,1334.420239,1552.190192,790.4107313
"22245",9,"at4g15750.1",10687.84676,7420.617672,5208.831585,3682.231332,1255.49527,1169.932991,2074.95754
"22246",9,"at4g16080.1",1247.061033,1304.127455,1027.458071,917.1759588,1079.906483,1185.914683,1124.637802
"22247",9,"at4g16095.1",1139.553105,1409.142483,1220.65136,1105.216214,917.5402865,883.4100958,1048.597138
"22248",9,"at4g16460.1",673.0290155,675.9197038,697.2086686,659.9806539,682.6362972,689.9246223,704.6471834
"22249",9,"at4g16540.1",783.6543736,796.0301267,736.7982049,727.2680017,729.4225999,703.1642177,816.621217
