,GeneID
11992,ENSG00000282895
12002,ENSG00000283009
12007,ENSG00000283060
12010,ENSG00000283100
12016,ENSG00000283771
12031,ENSG00000284126
12036,ENSG00000284260
12037,ENSG00000284308
12040,ENSG00000284495
12046,ENSG00000284765
12047,ENSG00000284770
12050,ENSG00000284807
12056,ENSG00000284889
12063,ENSG00000284980
12081,ENSG00000285246
12100,ENSG00000285456
12104,ENSG00000285485
12107,ENSG00000286264
12113,ENSG00000288145
12124,ENSG00000288293
12146,ENSG00000288701
