,GeneID
2885,ENSG00000111229
2891,ENSG00000111262
2899,ENSG00000111328
2900,ENSG00000111331
2903,ENSG00000111358
2922,ENSG00000111639
2932,ENSG00000111667
2965,ENSG00000111859
2966,ENSG00000111860
2977,ENSG00000112029
2978,ENSG00000112031
2991,ENSG00000112146
2993,ENSG00000112159
2994,ENSG00000112167
2998,ENSG00000112200
3007,ENSG00000112282
3008,ENSG00000112290
3047,ENSG00000112699
3071,ENSG00000112992
3083,ENSG00000113163
3093,ENSG00000113296
3101,ENSG00000113360
3102,ENSG00000113361
3107,ENSG00000113391
3110,ENSG00000113448
3111,ENSG00000113456
3117,ENSG00000113552
3124,ENSG00000113593
3156,ENSG00000113966
3158,ENSG00000114013
3163,ENSG00000114030
3178,ENSG00000114270
3203,ENSG00000114541
3214,ENSG00000114698
3222,ENSG00000114757
3234,ENSG00000114861
3237,ENSG00000114904
3248,ENSG00000115042
3258,ENSG00000115145
3306,ENSG00000115425
3314,ENSG00000115504
3316,ENSG00000115514
3327,ENSG00000115594
3328,ENSG00000115641
3343,ENSG00000115806
3353,ENSG00000115866
3390,ENSG00000116183
3399,ENSG00000116237
3417,ENSG00000116514
3443,ENSG00000116747
3447,ENSG00000116761
3450,ENSG00000116786
3455,ENSG00000116819
3457,ENSG00000116852
3460,ENSG00000116874
3485,ENSG00000117143
3494,ENSG00000117266
3515,ENSG00000117461
3528,ENSG00000117569
3549,ENSG00000117748
3557,ENSG00000117906
3558,ENSG00000117984
3565,ENSG00000118197
3566,ENSG00000118200
3575,ENSG00000118298
3576,ENSG00000118307
3581,ENSG00000118418
3591,ENSG00000118515
3596,ENSG00000118596
3597,ENSG00000118600
3602,ENSG00000118690
3610,ENSG00000118849
3630,ENSG00000119147
3637,ENSG00000119283
3646,ENSG00000119383
3650,ENSG00000119401
3656,ENSG00000119446
3671,ENSG00000119616
3685,ENSG00000119689
3699,ENSG00000119772
3705,ENSG00000119820
3713,ENSG00000119906
3717,ENSG00000119943
3733,ENSG00000120251
3742,ENSG00000120318
3775,ENSG00000120699
3776,ENSG00000120705
3779,ENSG00000120725
3798,ENSG00000120910
3810,ENSG00000121060
3852,ENSG00000121858
3899,ENSG00000122515
3908,ENSG00000122584
3909,ENSG00000122585
3915,ENSG00000122687
3937,ENSG00000122912
3968,ENSG00000123213
3978,ENSG00000123358
3983,ENSG00000123411
3985,ENSG00000123416
3986,ENSG00000123427
3987,ENSG00000123453
3990,ENSG00000123505
3992,ENSG00000123552
4002,ENSG00000123685
4003,ENSG00000123728
4021,ENSG00000124126
4024,ENSG00000124151
4028,ENSG00000124172
4040,ENSG00000124214
4063,ENSG00000124479
4087,ENSG00000124733
4107,ENSG00000125107
4113,ENSG00000125246
4142,ENSG00000125629
4159,ENSG00000125743
4169,ENSG00000125818
4174,ENSG00000125841
4190,ENSG00000125898
4193,ENSG00000125952
4196,ENSG00000125968
4200,ENSG00000125995
4207,ENSG00000126088
4213,ENSG00000126216
4215,ENSG00000126226
4223,ENSG00000126264
4240,ENSG00000126709
4242,ENSG00000126746
4266,ENSG00000127054
4270,ENSG00000127124
4279,ENSG00000127328
4282,ENSG00000127337
4306,ENSG00000127720
4312,ENSG00000127863
4321,ENSG00000127955
4326,ENSG00000127995
4327,ENSG00000128016
4330,ENSG00000128050
4339,ENSG00000128268
4344,ENSG00000128298
4359,ENSG00000128564
4360,ENSG00000128567
4361,ENSG00000128573
4376,ENSG00000128654
4391,ENSG00000128881
4394,ENSG00000128915
4401,ENSG00000128973
4410,ENSG00000129103
4419,ENSG00000129219
4432,ENSG00000129353
4433,ENSG00000129355
4447,ENSG00000129566
4450,ENSG00000129625
4466,ENSG00000129990
4484,ENSG00000130165
4491,ENSG00000130208
4500,ENSG00000130287
4506,ENSG00000130307
4517,ENSG00000130382
4522,ENSG00000130429
4535,ENSG00000130544
4566,ENSG00000130751
4574,ENSG00000130787
4581,ENSG00000130821
4624,ENSG00000131174
4625,ENSG00000131188
4633,ENSG00000131368
4645,ENSG00000131435
4648,ENSG00000131459
4653,ENSG00000131471
4662,ENSG00000131508
4667,ENSG00000131634
4672,ENSG00000131711
4689,ENSG00000131848
4695,ENSG00000131941
4699,ENSG00000131981
4701,ENSG00000132004
4711,ENSG00000132182
4713,ENSG00000132199
4736,ENSG00000132382
4738,ENSG00000132386
4750,ENSG00000132471
4755,ENSG00000132510
4759,ENSG00000132549
4761,ENSG00000132563
4765,ENSG00000132591
4774,ENSG00000132639
4775,ENSG00000132640
4779,ENSG00000132670
4780,ENSG00000132676
4788,ENSG00000132768
4790,ENSG00000132780
4796,ENSG00000132823
4798,ENSG00000132842
4803,ENSG00000132879
4817,ENSG00000133026
4818,ENSG00000133027
4828,ENSG00000133104
4834,ENSG00000133116
4848,ENSG00000133246
4850,ENSG00000133250
4858,ENSG00000133318
4864,ENSG00000133477
4873,ENSG00000133640
4874,ENSG00000133641
4885,ENSG00000133773
4892,ENSG00000133818
4910,ENSG00000134056
4912,ENSG00000134058
4914,ENSG00000134077
4931,ENSG00000134222
4932,ENSG00000134243
4946,ENSG00000134291
4952,ENSG00000134321
4957,ENSG00000134352
4958,ENSG00000134363
4960,ENSG00000134371
4990,ENSG00000134716
4991,ENSG00000134717
5013,ENSG00000134884
5019,ENSG00000134909
5033,ENSG00000135049
5034,ENSG00000135052
5045,ENSG00000135111
5046,ENSG00000135116
5058,ENSG00000135248
5082,ENSG00000135390
5094,ENSG00000135469
5103,ENSG00000135535
5110,ENSG00000135597
5119,ENSG00000135643
5152,ENSG00000135912
5167,ENSG00000135956
5174,ENSG00000136002
5187,ENSG00000136098
5193,ENSG00000136114
5211,ENSG00000136238
5226,ENSG00000136319
5232,ENSG00000136404
5237,ENSG00000136450
5261,ENSG00000136699
5278,ENSG00000136811
5292,ENSG00000136866
5300,ENSG00000136888
5301,ENSG00000136891
5302,ENSG00000136895
5335,ENSG00000137145
5337,ENSG00000137166
5341,ENSG00000137185
5348,ENSG00000137218
5355,ENSG00000137275
5365,ENSG00000137486
5408,ENSG00000137807
5423,ENSG00000137842
5426,ENSG00000137871
5428,ENSG00000137876
5434,ENSG00000137947
5437,ENSG00000137968
5444,ENSG00000138032
5445,ENSG00000138035
5449,ENSG00000138069
5453,ENSG00000138078
5454,ENSG00000138080
5483,ENSG00000138378
5489,ENSG00000138398
5499,ENSG00000138459
5506,ENSG00000138594
5528,ENSG00000138686
5533,ENSG00000138722
5584,ENSG00000139192
5588,ENSG00000139220
5591,ENSG00000139266
5602,ENSG00000139364
5610,ENSG00000139437
5649,ENSG00000139835
5651,ENSG00000139880
5661,ENSG00000139977
5665,ENSG00000140015
5666,ENSG00000140025
5674,ENSG00000140153
5677,ENSG00000140259
5699,ENSG00000140396
5713,ENSG00000140497
5726,ENSG00000140575
5727,ENSG00000140577
5739,ENSG00000140743
5754,ENSG00000140941
5757,ENSG00000140948
5760,ENSG00000140983
5767,ENSG00000141002
5787,ENSG00000141295
5793,ENSG00000141376
5798,ENSG00000141391
5800,ENSG00000141404
5812,ENSG00000141458
5813,ENSG00000141480
5814,ENSG00000141485
5817,ENSG00000141504
5832,ENSG00000141564
5841,ENSG00000141627
5860,ENSG00000141837
5865,ENSG00000141933
5876,ENSG00000142089
5893,ENSG00000142252
5899,ENSG00000142409
5903,ENSG00000142459
5910,ENSG00000142546
5917,ENSG00000142634
5928,ENSG00000142751
5931,ENSG00000142798
5940,ENSG00000142945
5950,ENSG00000143110
5965,ENSG00000143183
5977,ENSG00000143294
5983,ENSG00000143321
5985,ENSG00000143324
5986,ENSG00000143337
5989,ENSG00000143353
5991,ENSG00000143367
5994,ENSG00000143373
6001,ENSG00000143387
6002,ENSG00000143390
6003,ENSG00000143393
6008,ENSG00000143418
6014,ENSG00000143443
6015,ENSG00000143457
6016,ENSG00000143458
6031,ENSG00000143549
6053,ENSG00000143761
6075,ENSG00000143919
6082,ENSG00000143971
6101,ENSG00000144152
6108,ENSG00000144228
6116,ENSG00000144320
6120,ENSG00000144357
6130,ENSG00000144451
6131,ENSG00000144455
6132,ENSG00000144460
6135,ENSG00000144485
6146,ENSG00000144589
6170,ENSG00000144749
6180,ENSG00000144848
6217,ENSG00000145354
6223,ENSG00000145391
6256,ENSG00000145794
6259,ENSG00000145824
6274,ENSG00000145934
6282,ENSG00000146005
6286,ENSG00000146038
6289,ENSG00000146070
6293,ENSG00000146151
6335,ENSG00000146757
6339,ENSG00000146828
6343,ENSG00000146842
6345,ENSG00000146909
6346,ENSG00000146918
6369,ENSG00000147162
6392,ENSG00000147437
6406,ENSG00000147536
6436,ENSG00000147955
6442,ENSG00000148110
6451,ENSG00000148204
6452,ENSG00000148218
6457,ENSG00000148308
6459,ENSG00000148334
6468,ENSG00000148362
6478,ENSG00000148450
6498,ENSG00000148773
6518,ENSG00000149016
6540,ENSG00000149257
6542,ENSG00000149262
6562,ENSG00000149499
6570,ENSG00000149571
6576,ENSG00000149633
6580,ENSG00000149657
6586,ENSG00000149782
6588,ENSG00000149798
6589,ENSG00000149806
6606,ENSG00000150316
6612,ENSG00000150403
6621,ENSG00000150551
6633,ENSG00000150753
6645,ENSG00000150967
6657,ENSG00000151131
6675,ENSG00000151366
6690,ENSG00000151498
6692,ENSG00000151502
6713,ENSG00000151693
6715,ENSG00000151702
6719,ENSG00000151743
6739,ENSG00000151948
6742,ENSG00000152056
6774,ENSG00000152413
6775,ENSG00000152422
6781,ENSG00000152457
6782,ENSG00000152464
6799,ENSG00000152642
6807,ENSG00000152767
6828,ENSG00000153037
6832,ENSG00000153060
6840,ENSG00000153147
6844,ENSG00000153207
6850,ENSG00000153246
6860,ENSG00000153531
6861,ENSG00000153551
6866,ENSG00000153714
6902,ENSG00000154118
6909,ENSG00000154146
6912,ENSG00000154174
6922,ENSG00000154274
6925,ENSG00000154309
6928,ENSG00000154330
6931,ENSG00000154370
6934,ENSG00000154473
6940,ENSG00000154548
6958,ENSG00000154767
6982,ENSG00000155093
7001,ENSG00000155363
7002,ENSG00000155366
7029,ENSG00000155827
7035,ENSG00000155906
7037,ENSG00000155957
7041,ENSG00000155970
7048,ENSG00000156030
7057,ENSG00000156140
7072,ENSG00000156345
7074,ENSG00000156381
7075,ENSG00000156384
7089,ENSG00000156515
7105,ENSG00000156787
7142,ENSG00000157214
7186,ENSG00000157796
7199,ENSG00000157933
7214,ENSG00000158109
7221,ENSG00000158169
7237,ENSG00000158411
7246,ENSG00000158480
7257,ENSG00000158710
7278,ENSG00000158863
7279,ENSG00000158864
7291,ENSG00000159079
7293,ENSG00000159086
7300,ENSG00000159164
7303,ENSG00000159189
7314,ENSG00000159307
7317,ENSG00000159335
7320,ENSG00000159352
7335,ENSG00000159596
7351,ENSG00000159873
7362,ENSG00000160049
7378,ENSG00000160179
7392,ENSG00000160216
7401,ENSG00000160293
7402,ENSG00000160294
7403,ENSG00000160298
7428,ENSG00000160633
7479,ENSG00000161265
7489,ENSG00000161533
7491,ENSG00000161547
7495,ENSG00000161638
7496,ENSG00000161642
7497,ENSG00000161647
7508,ENSG00000161835
7533,ENSG00000162105
7534,ENSG00000162129
7535,ENSG00000162144
7542,ENSG00000162231
7548,ENSG00000162337
7550,ENSG00000162367
7551,ENSG00000162368
7570,ENSG00000162493
7579,ENSG00000162552
7584,ENSG00000162595
7596,ENSG00000162636
7598,ENSG00000162642
7599,ENSG00000162650
7617,ENSG00000162736
7621,ENSG00000162755
7631,ENSG00000162849
7650,ENSG00000162971
7654,ENSG00000162981
7691,ENSG00000163239
7702,ENSG00000163328
7746,ENSG00000163565
7747,ENSG00000163576
7748,ENSG00000163577
7750,ENSG00000163590
7765,ENSG00000163636
7769,ENSG00000163655
7770,ENSG00000163659
7778,ENSG00000163686
7785,ENSG00000163719
7786,ENSG00000163728
7796,ENSG00000163795
7809,ENSG00000163875
7815,ENSG00000163904
7828,ENSG00000163947
7831,ENSG00000163960
7836,ENSG00000164002
7838,ENSG00000164010
7842,ENSG00000164031
7850,ENSG00000164049
7857,ENSG00000164066
7863,ENSG00000164078
7912,ENSG00000164237
7913,ENSG00000164241
7928,ENSG00000164327
7929,ENSG00000164329
7936,ENSG00000164366
7939,ENSG00000164403
7940,ENSG00000164404
7949,ENSG00000164483
7966,ENSG00000164610
7971,ENSG00000164631
7976,ENSG00000164659
7981,ENSG00000164687
7987,ENSG00000164742
7998,ENSG00000164828
8001,ENSG00000164850
8010,ENSG00000164902
8029,ENSG00000164970
8033,ENSG00000164985
8036,ENSG00000165023
8045,ENSG00000165092
8047,ENSG00000165105
8069,ENSG00000165271
8078,ENSG00000165323
8088,ENSG00000165417
8090,ENSG00000165449
8106,ENSG00000165527
8114,ENSG00000165629
8125,ENSG00000165675
8136,ENSG00000165730
8140,ENSG00000165757
8155,ENSG00000165868
8159,ENSG00000165915
8165,ENSG00000165995
8176,ENSG00000166073
8178,ENSG00000166091
8180,ENSG00000166123
8213,ENSG00000166260
8226,ENSG00000166337
8227,ENSG00000166340
8241,ENSG00000166411
8250,ENSG00000166452
8260,ENSG00000166501
8268,ENSG00000166546
8289,ENSG00000166747
8293,ENSG00000166788
8302,ENSG00000166821
8304,ENSG00000166823
8311,ENSG00000166851
8319,ENSG00000166900
8354,ENSG00000167123
8373,ENSG00000167281
8385,ENSG00000167378
8386,ENSG00000167380
8392,ENSG00000167461
8397,ENSG00000167508
8402,ENSG00000167525
8422,ENSG00000167614
8447,ENSG00000167721
8453,ENSG00000167771
8457,ENSG00000167779
8464,ENSG00000167851
8470,ENSG00000167881
8477,ENSG00000167964
8481,ENSG00000167969
8484,ENSG00000167977
8495,ENSG00000168002
8507,ENSG00000168056
8513,ENSG00000168081
8514,ENSG00000168090
8531,ENSG00000168256
8536,ENSG00000168275
8538,ENSG00000168283
8559,ENSG00000168438
8560,ENSG00000168439
8562,ENSG00000168487
8563,ENSG00000168488
8579,ENSG00000168591
8586,ENSG00000168675
8589,ENSG00000168702
8590,ENSG00000168710
8599,ENSG00000168781
8602,ENSG00000168803
